4.64E-19,1.31E-18,3.94E-18,2.02E-17,1.93E-16,2.11E-15,2.14E-14,1.92E-13,1.53E-12,1.07E-11,6.63E-11,3.62E-10,1.74E-09,7.42E-09,2.78E-08,9.22E-08,2.70E-07,6.96E-07,1.59E-06,3.20E-06,5.72E-06,9.11E-06,1.30E-05,1.70E-05,2.07E-05,2.44E-05,2.84E-05,3.28E-05,3.71E-05,3.96E-05,3.90E-05,3.52E-05,2.95E-05,2.43E-05,2.19E-05,2.38E-05,2.96E-05,3.76E-05,4.49E-05,4.90E-05,4.82E-05,4.26E-05,3.43E-05,2.62E-05,2.15E-05,2.25E-05,3.00E-05,4.32E-05,5.93E-05,7.39E-05,8.25E-05,8.22E-05,7.31E-05,5.82E-05,4.16E-05,2.68E-05,1.56E-05,8.24E-06,3.99E-06,1.80E-06,7.77E-07,3.30E-07,1.42E-07,6.24E-08,2.77E-08,1.25E-08,6.37E-09,4.21E-09,3.56E-09,3.23E-09,2.78E-09,2.16E-09,1.50E-09,9.26E-10,5.06E-10,2.45E-10,1.05E-10,4.01E-11,1.35E-11,4.05E-12,1.08E-12,2.54E-13,5.40E-14,1.05E-14,1.99E-15,4.23E-16,1.16E-16,3.97E-17,1.44E-17,4.91E-18,1.52E-18,4.20E-19,1.03E-19,2.22E-20,4.25E-21,7.17E-22,1.07E-22,1.43E-23,1.76E-24,2.25E-25
7.33E-18,2.00E-17,4.93E-17,1.23E-16,4.76E-16,3.62E-15,3.43E-14,3.05E-13,2.42E-12,1.70E-11,1.05E-10,5.73E-10,2.76E-09,1.17E-08,4.41E-08,1.46E-07,4.27E-07,1.10E-06,2.51E-06,5.05E-06,9.01E-06,1.43E-05,2.02E-05,2.59E-05,3.06E-05,3.43E-05,3.77E-05,4.12E-05,4.45E-05,4.62E-05,4.49E-05,4.05E-05,3.44E-05,2.95E-05,2.83E-05,3.21E-05,4.04E-05,5.06E-05,5.92E-05,6.32E-05,6.08E-05,5.27E-05,4.16E-05,3.11E-05,2.47E-05,2.48E-05,3.22E-05,4.60E-05,6.30E-05,7.87E-05,8.84E-05,8.91E-05,8.06E-05,6.57E-05,4.84E-05,3.24E-05,1.97E-05,1.11E-05,5.81E-06,2.90E-06,1.43E-06,7.05E-07,3.52E-07,1.75E-07,8.54E-08,4.26E-08,2.49E-08,1.91E-08,1.77E-08,1.66E-08,1.44E-08,1.13E-08,7.82E-09,4.83E-09,2.64E-09,1.28E-09,5.51E-10,2.10E-10,7.09E-11,2.13E-11,5.68E-12,1.36E-12,2.97E-13,6.19E-14,1.37E-14,3.76E-15,1.32E-15,5.12E-16,1.94E-16,6.75E-17,2.10E-17,5.82E-18,1.43E-18,3.09E-19,5.91E-20,1.00E-20,1.51E-21,2.05E-22,2.72E-23,4.37E-24
1.00E-16,2.73E-16,6.58E-16,1.42E-15,2.99E-15,8.85E-15,5.27E-14,4.26E-13,3.32E-12,2.32E-11,1.44E-10,7.85E-10,3.78E-09,1.61E-08,6.03E-08,2.00E-07,5.84E-07,1.51E-06,3.43E-06,6.91E-06,1.23E-05,1.94E-05,2.73E-05,3.44E-05,3.97E-05,4.28E-05,4.45E-05,4.59E-05,4.71E-05,4.73E-05,4.52E-05,4.09E-05,3.57E-05,3.25E-05,3.36E-05,4.00E-05,5.05E-05,6.21E-05,7.07E-05,7.33E-05,6.87E-05,5.82E-05,4.49E-05,3.27E-05,2.50E-05,2.41E-05,3.05E-05,4.32E-05,5.95E-05,7.50E-05,8.55E-05,8.80E-05,8.18E-05,6.91E-05,5.31E-05,3.74E-05,2.43E-05,1.47E-05,8.48E-06,4.78E-06,2.70E-06,1.53E-06,8.57E-07,4.62E-07,2.42E-07,1.33E-07,8.95E-08,7.82E-08,7.70E-08,7.38E-08,6.47E-08,5.06E-08,3.52E-08,2.18E-08,1.19E-08,5.78E-09,2.49E-09,9.50E-10,3.22E-10,9.71E-11,2.62E-11,6.44E-12,1.49E-12,3.51E-13,9.74E-14,3.45E-14,1.42E-14,5.91E-15,2.30E-15,8.06E-16,2.52E-16,6.99E-17,1.72E-17,3.72E-18,7.14E-19,1.21E-19,1.85E-20,2.64E-21,4.11E-22,9.03E-23
1.19E-15,3.24E-15,7.78E-15,1.65E-14,3.13E-14,5.64E-14,1.30E-13,5.96E-13,4.06E-12,2.78E-11,1.71E-10,9.31E-10,4.48E-09,1.90E-08,7.14E-08,2.37E-07,6.91E-07,1.78E-06,4.06E-06,8.16E-06,1.45E-05,2.28E-05,3.20E-05,4.00E-05,4.52E-05,4.72E-05,4.69E-05,4.57E-05,4.44E-05,4.28E-05,4.03E-05,3.69E-05,3.40E-05,3.39E-05,3.83E-05,4.76E-05,5.97E-05,7.13E-05,7.84E-05,7.83E-05,7.09E-05,5.81E-05,4.34E-05,3.06E-05,2.25E-05,2.08E-05,2.58E-05,3.65E-05,5.08E-05,6.52E-05,7.61E-05,8.08E-05,7.81E-05,6.90E-05,5.59E-05,4.18E-05,2.91E-05,1.93E-05,1.24E-05,7.98E-06,5.12E-06,3.23E-06,1.95E-06,1.12E-06,6.23E-07,3.80E-07,2.95E-07,2.86E-07,2.94E-07,2.85E-07,2.51E-07,1.97E-07,1.37E-07,8.47E-08,4.64E-08,2.26E-08,9.73E-09,3.72E-09,1.27E-09,3.87E-10,1.07E-10,2.76E-11,7.06E-12,2.02E-12,7.21E-13,3.08E-13,1.39E-13,5.99E-14,2.36E-14,8.34E-15,2.62E-15,7.27E-16,1.79E-16,3.89E-17,7.48E-18,1.28E-18,2.01E-19,3.19E-20,6.43E-21,1.93E-21
1.22E-14,3.32E-14,7.98E-14,1.69E-13,3.17E-13,5.28E-13,8.24E-13,1.53E-12,5.35E-12,3.03E-11,1.79E-10,9.66E-10,4.63E-09,1.96E-08,7.34E-08,2.43E-07,7.09E-07,1.83E-06,4.16E-06,8.36E-06,1.48E-05,2.33E-05,3.25E-05,4.04E-05,4.51E-05,4.61E-05,4.41E-05,4.08E-05,3.75E-05,3.49E-05,3.26E-05,3.12E-05,3.17E-05,3.58E-05,4.43E-05,5.65E-05,6.96E-05,7.97E-05,8.36E-05,7.96E-05,6.87E-05,5.39E-05,3.87E-05,2.62E-05,1.85E-05,1.65E-05,2.02E-05,2.88E-05,4.07E-05,5.35E-05,6.44E-05,7.10E-05,7.16E-05,6.64E-05,5.68E-05,4.52E-05,3.41E-05,2.50E-05,1.82E-05,1.32E-05,9.37E-06,6.38E-06,4.06E-06,2.44E-06,1.46E-06,9.98E-07,8.81E-07,9.21E-07,9.75E-07,9.56E-07,8.43E-07,6.62E-07,4.62E-07,2.85E-07,1.57E-07,7.62E-08,3.30E-08,1.27E-08,4.37E-09,1.36E-09,3.93E-10,1.11E-10,3.34E-11,1.21E-11,5.29E-12,2.54E-12,1.21E-12,5.31E-13,2.11E-13,7.48E-14,2.35E-14,6.55E-15,1.62E-15,3.52E-16,6.83E-17,1.20E-17,2.00E-18,3.84E-19,1.07E-19,4.01E-20
1.08E-13,2.94E-13,7.07E-13,1.50E-12,2.80E-12,4.64E-12,6.84E-12,9.37E-12,1.46E-11,3.99E-11,1.83E-10,9.23E-10,4.30E-09,1.80E-08,6.66E-08,2.19E-07,6.37E-07,1.64E-06,3.72E-06,7.46E-06,1.32E-05,2.08E-05,2.89E-05,3.59E-05,3.98E-05,4.01E-05,3.74E-05,3.34E-05,2.95E-05,2.67E-05,2.57E-05,2.71E-05,3.19E-05,4.11E-05,5.44E-05,6.96E-05,8.30E-05,9.05E-05,8.97E-05,8.06E-05,6.56E-05,4.87E-05,3.32E-05,2.15E-05,1.48E-05,1.31E-05,1.61E-05,2.32E-05,3.31E-05,4.42E-05,5.45E-05,6.18E-05,6.45E-05,6.21E-05,5.58E-05,4.75E-05,3.91E-05,3.20E-05,2.61E-05,2.09E-05,1.61E-05,1.15E-05,7.65E-06,4.80E-06,3.11E-06,2.41E-06,2.37E-06,2.61E-06,2.81E-06,2.77E-06,2.45E-06,1.93E-06,1.34E-06,8.32E-07,4.57E-07,2.23E-07,9.70E-08,3.78E-08,1.33E-08,4.31E-09,1.35E-09,4.36E-10,1.62E-10,7.24E-11,3.65E-11,1.88E-11,9.16E-12,4.09E-12,1.63E-12,5.82E-13,1.84E-13,5.13E-14,1.27E-14,2.78E-15,5.47E-16,9.98E-17,1.91E-17,4.85E-18,1.79E-18,7.59E-19
8.29E-13,2.26E-12,5.41E-12,1.15E-11,2.15E-11,3.55E-11,5.20E-11,6.81E-11,8.39E-11,1.18E-10,2.74E-10,1.01E-09,4.16E-09,1.62E-08,5.76E-08,1.84E-07,5.23E-07,1.33E-06,2.98E-06,5.95E-06,1.05E-05,1.65E-05,2.30E-05,2.86E-05,3.19E-05,3.22E-05,3.01E-05,2.66E-05,2.33E-05,2.15E-05,2.24E-05,2.72E-05,3.69E-05,5.18E-05,7.03E-05,8.86E-05,0.000101909,0.00010605,9.96E-05,8.44E-05,6.48E-05,4.53E-05,2.94E-05,1.86E-05,1.31E-05,1.24E-05,1.56E-05,2.21E-05,3.09E-05,4.06E-05,4.95E-05,5.58E-05,5.86E-05,5.75E-05,5.37E-05,4.88E-05,4.41E-05,4.01E-05,3.61E-05,3.13E-05,2.54E-05,1.90E-05,1.31E-05,8.63E-06,6.11E-06,5.31E-06,5.68E-06,6.48E-06,7.05E-06,6.97E-06,6.16E-06,4.85E-06,3.38E-06,2.10E-06,1.16E-06,5.68E-07,2.49E-07,9.90E-08,3.62E-08,1.26E-08,4.46E-09,1.74E-09,7.93E-10,4.14E-10,2.28E-10,1.22E-10,6.07E-11,2.73E-11,1.10E-11,3.93E-12,1.24E-12,3.49E-13,8.67E-14,1.92E-14,3.89E-15,7.75E-16,1.85E-16,6.40E-17,2.83E-17,1.27E-17
5.49E-12,1.49E-11,3.59E-11,7.60E-11,1.42E-10,2.35E-10,3.44E-10,4.47E-10,5.28E-10,6.10E-10,8.64E-10,1.93E-09,5.95E-09,1.95E-08,6.09E-08,1.76E-07,4.66E-07,1.12E-06,2.42E-06,4.70E-06,8.18E-06,1.27E-05,1.78E-05,2.24E-05,2.55E-05,2.66E-05,2.58E-05,2.37E-05,2.17E-05,2.12E-05,2.41E-05,3.22E-05,4.67E-05,6.72E-05,9.08E-05,0.000111965,0.000124863,0.000125311,0.000113049,9.18E-05,6.74E-05,4.54E-05,2.90E-05,1.91E-05,1.52E-05,1.60E-05,2.04E-05,2.75E-05,3.60E-05,4.44E-05,5.12E-05,5.52E-05,5.60E-05,5.45E-05,5.20E-05,5.02E-05,4.95E-05,4.93E-05,4.79E-05,4.39E-05,3.71E-05,2.86E-05,2.05E-05,1.44E-05,1.12E-05,1.07E-05,1.21E-05,1.40E-05,1.53E-05,1.52E-05,1.34E-05,1.06E-05,7.38E-06,4.59E-06,2.54E-06,1.26E-06,5.65E-07,2.33E-07,9.09E-08,3.55E-08,1.48E-08,6.98E-09,3.75E-09,2.17E-09,1.26E-09,6.95E-10,3.50E-10,1.59E-10,6.42E-11,2.30E-11,7.32E-12,2.07E-12,5.19E-13,1.18E-13,2.53E-14,5.90E-15,1.88E-15,8.30E-16,4.04E-16,1.87E-16
3.14E-11,8.55E-11,2.05E-10,4.35E-10,8.14E-10,1.35E-09,1.97E-09,2.56E-09,2.99E-09,3.26E-09,3.80E-09,6.05E-09,1.41E-08,3.84E-08,1.04E-07,2.62E-07,6.12E-07,1.32E-06,2.61E-06,4.73E-06,7.84E-06,1.19E-05,1.64E-05,2.09E-05,2.46E-05,2.68E-05,2.75E-05,2.69E-05,2.59E-05,2.62E-05,3.04E-05,4.10E-05,5.92E-05,8.40E-05,0.000111277,0.000134292,0.000146279,0.000143307,0.000126244,0.000100328,7.26E-05,4.91E-05,3.29E-05,2.45E-05,2.27E-05,2.57E-05,3.22E-05,4.05E-05,4.92E-05,5.63E-05,6.05E-05,6.11E-05,5.87E-05,5.53E-05,5.30E-05,5.33E-05,5.61E-05,5.95E-05,6.08E-05,5.78E-05,5.04E-05,4.03E-05,3.02E-05,2.27E-05,1.92E-05,1.96E-05,2.28E-05,2.66E-05,2.90E-05,2.86E-05,2.53E-05,1.99E-05,1.40E-05,8.72E-06,4.88E-06,2.47E-06,1.15E-06,5.03E-07,2.18E-07,9.90E-08,4.91E-08,2.72E-08,1.64E-08,1.02E-08,6.14E-09,3.45E-09,1.76E-09,8.02E-10,3.26E-10,1.18E-10,3.76E-11,1.07E-11,2.74E-12,6.49E-13,1.56E-13,4.64E-14,1.95E-14,9.98E-15,5.09E-15,2.38E-15
1.56E-10,4.23E-10,1.02E-09,2.15E-09,4.03E-09,6.66E-09,9.75E-09,1.27E-08,1.47E-08,1.58E-08,1.68E-08,2.16E-08,4.02E-08,9.52E-08,2.35E-07,5.48E-07,1.18E-06,2.34E-06,4.28E-06,7.20E-06,1.12E-05,1.61E-05,2.15E-05,2.69E-05,3.17E-05,3.52E-05,3.69E-05,3.68E-05,3.58E-05,3.58E-05,3.99E-05,5.11E-05,7.09E-05,9.76E-05,0.000126193,0.000149195,0.000159694,0.0001543,0.000134812,0.000107313,7.93E-05,5.67E-05,4.25E-05,3.66E-05,3.76E-05,4.35E-05,5.22E-05,6.19E-05,7.05E-05,7.60E-05,7.72E-05,7.40E-05,6.81E-05,6.22E-05,5.93E-05,6.06E-05,6.57E-05,7.17E-05,7.52E-05,7.34E-05,6.58E-05,5.45E-05,4.30E-05,3.45E-05,3.11E-05,3.29E-05,3.82E-05,4.42E-05,4.78E-05,4.70E-05,4.14E-05,3.26E-05,2.30E-05,1.45E-05,8.25E-06,4.32E-06,2.14E-06,1.04E-06,5.17E-07,2.74E-07,1.58E-07,9.89E-08,6.47E-08,4.22E-08,2.62E-08,1.49E-08,7.68E-09,3.53E-09,1.44E-09,5.25E-10,1.70E-10,4.91E-11,1.30E-11,3.33E-12,9.61E-13,3.77E-13,1.94E-13,1.07E-13,5.59E-14,2.63E-14
